item,Unique Visitors,Visits,Page Views,Bounces,Time Spent on Page (min),e89 Video Views,e17 Form Success,Form Submission Rate,Total Weekly Unique Visitors,Entries,Total Time Spent,Account Number,Date,Granularity
www.servicenow.com/success/value-calculator-it.html,430,500,610,291,1.23,0,0,0,570,436,36845,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-hr.html,92,101,136,10,1.46,0,0,0,570,19,8820,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-it-form.html,82,84,121,19,1.44,0,34,40.48,570,21,7240,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops.html,77,85,127,14,1.79,0,0,0,570,20,9144,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,64,67,78,13,1.76,0,0,0,570,20,7070,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-hr-form.html,21,22,35,0,0.91,0,9,40.91,570,1,1205,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops-form.html,15,16,29,1,0.61,0,8,50,570,1,590,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-intelligent-apps-form.html,9,10,11,1,3,0,1,10,570,1,1800,ISP Visitor,Jan-18,month
www.servicenow.com/success/,4,4,5,0,0.3,0,0,0,570,0,72,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops-form-1.html,3,3,4,0,0.34,0,1,33.33,570,0,61,ISP Visitor,Jan-18,month
www.servicenow.com/success/value-calculator-it.html,436,572,759,263,2.14,0,0,0,566,452,73562,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-hr.html,119,150,204,13,1.87,0,0,0,566,39,16867,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops.html,98,127,161,21,1.53,0,0,0,566,36,11644,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,90,104,122,12,1.45,0,0,0,566,23,9042,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-it-form.html,83,100,192,4,2.49,0,71,71,566,10,14914,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-hr-form.html,46,56,119,3,3.33,0,39,69.64,566,6,11172,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-intelligent-apps-form.html,17,17,30,0,2.23,0,10,58.82,566,0,2277,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops-form.html,15,17,38,2,2.42,0,15,88.24,566,3,2472,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-csm.html,10,11,12,1,2.87,0,0,0,566,4,1891,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-it-form-1.html,7,9,13,1,0.56,0,4,44.44,566,1,300,Not In List,Jan-18,month
www.servicenow.com/success/value-calculator-it.html,413,458,473,305,1.2,0,0,0,498,455,32888,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,34,35,37,20,0.73,0,0,0,498,33,1543,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-hr.html,22,24,25,11,1.88,0,0,0,498,21,2708,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops.html,12,13,14,4,1.51,0,0,0,498,13,1178,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-it-form.html,11,11,12,10,1.08,0,1,9.09,498,11,715,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-csm-form.html,3,3,4,1,0.11,0,0,0,498,3,20,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-hr-form.html,3,3,3,1,0.17,0,0,0,498,2,31,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-intelligent-apps-form.html,2,3,3,2,3.69,0,0,0,498,3,664,::unspecified::,Jan-18,month
www.servicenow.com/success.do,2,2,2,2,0,0,0,0,498,2,0,::unspecified::,Jan-18,month
www.servicenow.com/success/value-calculator-security-ops-form.html,1,1,1,0,0.15,0,0,0,498,1,9,::unspecified::,Jan-18,month
,,,,,,,,,,,,ACCT0065581,Jan-18,month
,,,,,,,,,,,,ACCT0071663,Jan-18,month
,,,,,,,,,,,,ACCT0048703,Jan-18,month
,,,,,,,,,,,,ACCT0022476,Jan-18,month
,,,,,,,,,,,,ACCT0106566,Jan-18,month
,,,,,,,,,,,,ACCT0087337,Jan-18,month
,,,,,,,,,,,,ACCT0087467,Jan-18,month
www.servicenow.com/success/value-calculator-it.html,851,1079,2041,403,1.75,0,0,0,1369,649,113512,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-hr.html,185,238,632,33,2.14,0,0,0,1369,62,30603,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-csm.html,177,230,497,36,2.5,0,0,0,1369,74,34465,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-it-form.html,162,191,395,39,2.34,0,129,67.54,1369,60,26854,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops.html,159,197,384,43,2.18,0,0,0,1369,73,25787,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,93,109,197,12,1.58,0,0,0,1369,19,10349,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-csm-form.html,85,95,171,47,1.93,0,33,34.74,1369,64,11014,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-hr-form.html,40,48,100,1,2.35,0,47,97.92,1369,2,6757,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops-form.html,19,20,30,1,4.95,0,10,50,1369,3,5940,ISP Visitor,Feb-18,month
www.servicenow.com/success/,9,9,10,0,2.94,0,0,0,1369,0,1590,ISP Visitor,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,611,893,2023,175,2.46,0,0,0,1016,439,131599,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-hr.html,217,299,820,23,2.44,0,0,0,1016,81,43769,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-csm.html,185,261,628,25,2.98,0,0,0,1016,66,46715,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops.html,161,230,541,35,2.7,0,0,0,1016,73,37286,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-it-form.html,134,165,332,2,3.08,0,112,67.88,1016,10,30485,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,80,95,196,7,2.52,0,0,0,1016,15,14369,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-hr-form.html,62,83,200,0,2.65,0,95,114.46,1016,6,13211,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-csm-form.html,53,76,154,11,3.55,0,44,57.89,1016,24,16180,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops-form.html,30,39,78,0,3.68,0,29,74.36,1016,0,8609,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-intelligent-apps-form.html,12,15,34,0,1.35,0,14,93.33,1016,1,1211,Not In List,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,479,590,986,257,1.31,0,0,0,739,572,46320,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-csm.html,80,83,120,46,1.67,0,0,0,739,79,8307,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-hr.html,62,80,189,28,1.74,0,0,0,739,74,8331,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops.html,56,64,127,31,1.52,0,0,0,739,59,5827,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,18,19,28,10,0.45,0,0,0,739,16,508,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-it-form.html,12,14,19,6,2.24,0,5,35.71,739,13,1883,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-csm-form.html,12,12,13,8,0.26,0,1,8.33,739,12,188,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-hr-form.html,3,3,5,0,3.88,0,1,33.33,739,1,698,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops-form.html,1,1,4,0,4.88,0,1,100,739,1,293,::unspecified::,Feb-18,month
www.servicenow.com/success/calculatorProps.html,1,1,1,1,0,0,0,0,739,1,0,::unspecified::,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,1,1,1,0,0.7,0,0,0,1,0,42,ACCT0065581,Feb-18,month
www.servicenow.com/company.html,0,0,0,0,INF,0,0,INF,1,1,0,ACCT0065581,Feb-18,month
,,,,,,,,,,,,ACCT0071663,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,1,2,1,0,0.24,0,0,0,1,1,29,ACCT0048703,Feb-18,month
www.servicenow.com/,0,0,0,0,INF,0,0,INF,1,1,0,ACCT0048703,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,1,1,8,0,1.58,0,0,0,1,1,95,ACCT0022476,Feb-18,month
www.servicenow.com/,0,0,0,0,INF,0,0,INF,1,1,0,ACCT0022476,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,6,7,25,3,4.61,0,0,0,7,7,1938,ACCT0106566,Feb-18,month
www.servicenow.com/success/value-calculator-it-form.html,1,1,1,0,1.97,0,0,0,7,0,118,ACCT0106566,Feb-18,month
www.servicenow.com/success/value-calculator-it-form-1.html,1,1,1,0,0.17,0,0,0,7,0,10,ACCT0106566,Feb-18,month
www.servicenow.com/success/value-calculator-intelligent-apps.html,1,1,1,0,0.33,0,0,0,3,0,20,ACCT0087337,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,1,1,1,0,0.12,0,0,0,3,0,7,ACCT0087337,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops.html,1,1,1,0,0,0,0,0,3,0,0,ACCT0087337,Feb-18,month
www.servicenow.com/,0,0,0,0,INF,0,0,INF,3,2,0,ACCT0087337,Feb-18,month
www.servicenow.com/products-by-category.html,0,0,0,0,INF,0,0,INF,3,1,0,ACCT0087337,Feb-18,month
www.servicenow.com/success/value-calculator-security-ops.html,1,1,1,1,0,0,0,0,1,1,0,ACCT0087467,Feb-18,month
www.servicenow.com/success/value-calculator-it.html,578,702,1671,196,2.15,0,0,0,1042,351,90384,ISP Visitor,Mar-18,month
www.servicenow.com/success/value-calculator-hr.html,214,265,705,31,1.97,0,0,0,1042,77,31356,ISP Visitor,Mar-18,month
www.servicenow.com/success/value-calculator-csm.html,157,201,559,41,2.62,0,0,0,1042,86,31557,ISP Visitor,Mar-18,month
